Value,Type,Category
2366400.0,True MC Data,Data
2478000.0,True MC Data,Data
2275900.0,True MC Data,Data
2574500.0,True MC Data,Data
2420200.0,True MC Data,Data
2608500.0,True MC Data,Data
2281000.0,True MC Data,Data
2498400.0,True MC Data,Data
2554900.0,True MC Data,Data
2432800.0,True MC Data,Data
2575600.0,True MC Data,Data
2568000.0,True MC Data,Data
2495400.0,True MC Data,Data
2512100.0,True MC Data,Data
2443000.0,True MC Data,Data
2505200.0,True MC Data,Data
2604000.0,True MC Data,Data
2528600.0,True MC Data,Data
2626000.0,True MC Data,Data
2592200.0,True MC Data,Data
2505900.0,True MC Data,Data
2409800.0,True MC Data,Data
2515200.0,True MC Data,Data
2567900.0,True MC Data,Data
2375400.0,True MC Data,Data
2489800.0,True MC Data,Data
2594200.0,True MC Data,Data
2437200.0,True MC Data,Data
2679500.0,True MC Data,Data
2435800.0,True MC Data,Data
2552200.0,True MC Data,Data
2350200.0,True MC Data,Data
2491800.0,True MC Data,Data
2508200.0,True MC Data,Data
2379000.0,True MC Data,Data
2379100.0,True MC Data,Data
2348500.0,True MC Data,Data
2452600.0,True MC Data,Data
2297900.0,True MC Data,Data
2319500.0,True MC Data,Data
2399400.0,True MC Data,Data
2425100.0,True MC Data,Data
2368400.0,True MC Data,Data
2321800.0,True MC Data,Data
2426000.0,True MC Data,Data
2495300.0,True MC Data,Data
2401000.0,True MC Data,Data
2372400.0,True MC Data,Data
2312600.0,True MC Data,Data
2413400.0,True MC Data,Data
2425500.0,True MC Data,Data
2395400.0,True MC Data,Data
2350000.0,True MC Data,Data
2375800.0,True MC Data,Data
2382900.0,True MC Data,Data
2331000.0,True MC Data,Data
2535800.0,True MC Data,Data
2564900.0,True MC Data,Data
2429600.0,True MC Data,Data
2390600.0,True MC Data,Data
2453400.0,True MC Data,Data
2388300.0,True MC Data,Data
2591400.0,True MC Data,Data
2482600.0,True MC Data,Data
2350800.0,True MC Data,Data
2503800.0,True MC Data,Data
2444200.0,True MC Data,Data
2525000.0,True MC Data,Data
2395600.0,True MC Data,Data
2284800.0,True MC Data,Data
2450600.0,True MC Data,Data
2445800.0,True MC Data,Data
2382000.0,True MC Data,Data
2505800.0,True MC Data,Data
2404700.0,True MC Data,Data
2534300.0,True MC Data,Data
2459100.0,True MC Data,Data
2450600.0,True MC Data,Data
2347800.0,True MC Data,Data
2501600.0,True MC Data,Data
2401600.0,True MC Data,Data
2515200.0,True MC Data,Data
2520000.0,True MC Data,Data
2451700.0,True MC Data,Data
2162600.0,True MC Data,Data
2510200.0,True MC Data,Data
2518000.0,True MC Data,Data
2450400.0,True MC Data,Data
2557000.0,True MC Data,Data
2472400.0,True MC Data,Data
2515100.0,True MC Data,Data
2444800.0,True MC Data,Data
2491100.0,True MC Data,Data
2244000.0,True MC Data,Data
2395500.0,True MC Data,Data
2247000.0,True MC Data,Data
2337200.0,True MC Data,Data
2525100.0,True MC Data,Data
2351200.0,True MC Data,Data
2379000.0,True MC Data,Data
2548700.0,True MC Data,Data
2549100.0,True MC Data,Data
2524700.0,True MC Data,Data
2431300.0,True MC Data,Data
2638000.0,True MC Data,Data
2481900.0,True MC Data,Data
2491000.0,True MC Data,Data
2438600.0,True MC Data,Data
2278200.0,True MC Data,Data
2616200.0,True MC Data,Data
2492800.0,True MC Data,Data
2289800.0,True MC Data,Data
2368400.0,True MC Data,Data
2482200.0,True MC Data,Data
2483800.0,True MC Data,Data
2443600.0,True MC Data,Data
2497700.0,True MC Data,Data
2609800.0,True MC Data,Data
2319200.0,True MC Data,Data
2344200.0,True MC Data,Data
2286600.0,True MC Data,Data
2561000.0,True MC Data,Data
2523000.0,True MC Data,Data
2462000.0,True MC Data,Data
2457000.0,True MC Data,Data
